run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
ah_f0_s0,ah,im0162,Q1_dimmest,13,9.0,0.30769,0.15385,0.66667,0.43763,0.35063,0.66631,0.78871
ah_f0_s0,ah,im0162,Q2,69,8.0,0.27536,0.14493,0.69053,0.55963,0.37242,0.58814,0.73432
ah_f0_s0,ah,im0162,Q3,114,18.5,0.11404,0.35965,0.82711,0.56907,0.19686,0.67198,0.88734
ah_f0_s0,ah,im0162,Q4_clearest,156,21.0,0.01923,0.45513,0.52941,0.33268,0.06458,0.83366,0.96583
ah_f0_s0,ah,im0163,Q1_dimmest,6,8.5,0.5,0.0,1.0,0.71837,0.30763,0.51117,0.84618
ah_f0_s0,ah,im0163,Q2,45,14.0,0.51111,0.17778,0.56719,0.34677,0.30876,0.75104,0.77322
ah_f0_s0,ah,im0163,Q3,50,36.0,0.1,0.46,0.80444,0.39136,0.16748,0.80432,0.89473
ah_f0_s0,ah,im0163,Q4_clearest,117,18.0,0.00855,0.4359,0.51724,0.00566,0.06101,0.99717,0.96528
ah_f0_s0,ah,im0235,Q1_dimmest,24,6.0,0.41667,0.125,0.71429,0.56547,0.38296,0.61167,0.77197
ah_f0_s0,ah,im0235,Q2,37,14.0,0.18919,0.24324,0.62857,0.33633,0.249,0.74858,0.81963
ah_f0_s0,ah,im0235,Q3,71,34.0,0.11268,0.56338,0.83333,0.42456,0.11742,0.68543,0.9392
ah_f0_s0,ah,im0235,Q4_clearest,116,17.0,0.0,0.39655,nan,nan,0.06786,nan,0.96367
ah_f0_s0,ah,im0236,Q1_dimmest,18,8.0,0.38889,0.05556,0.58442,0.39383,0.32189,0.74461,0.81423
ah_f0_s0,ah,im0236,Q2,47,10.0,0.23404,0.19149,0.64141,0.45759,0.35311,0.72663,0.79901
ah_f0_s0,ah,im0236,Q3,72,26.0,0.06944,0.47222,0.95224,0.62673,0.1083,0.65828,0.92931
ah_f0_s0,ah,im0236,Q4_clearest,117,16.0,0.0,0.37607,nan,nan,0.04668,nan,0.96656
ah_f0_s0,ah,im0239,Q1_dimmest,8,3.5,0.375,0.125,0.86667,0.67092,0.29271,0.33546,0.77267
ah_f0_s0,ah,im0239,Q2,38,5.0,0.13158,0.07895,0.61818,0.5154,0.42146,0.49798,0.75436
ah_f0_s0,ah,im0239,Q3,99,14.0,0.08081,0.32323,0.76648,0.47947,0.26582,0.60633,0.82209
ah_f0_s0,ah,im0239,Q4_clearest,100,20.0,0.0,0.48,nan,nan,0.09482,nan,0.94726
ah_f0_s0,ah,im0240,Q1_dimmest,40,7.5,0.2,0.05,0.61719,0.48833,0.37324,0.66395,0.77225
ah_f0_s0,ah,im0240,Q2,79,10.0,0.11392,0.17722,0.51587,0.29747,0.34743,0.82937,0.75789
ah_f0_s0,ah,im0240,Q3,65,39.0,0.03077,0.55385,0.99206,0.62185,0.06879,0.68907,0.96561
ah_f0_s0,ah,im0240,Q4_clearest,23,39.0,0.0,0.56522,nan,nan,0.01331,nan,0.99335
ah_f0_s0,ah,im0255,Q1_dimmest,16,3.5,0.5,0.0,0.625,0.49871,0.41863,0.68479,0.73339
ah_f0_s0,ah,im0255,Q2,99,7.0,0.25253,0.11111,0.72216,0.53971,0.33612,0.57787,0.79345
ah_f0_s0,ah,im0255,Q3,109,21.0,0.05505,0.38532,0.8479,0.45347,0.19053,0.70458,0.88367
ah_f0_s0,ah,im0255,Q4_clearest,150,22.0,0.00667,0.37333,0.95302,0.17723,0.04403,0.91139,0.97546
ah_f0_s0,ah,im0291,Q1_dimmest,16,5.5,0.1875,0.125,0.41026,0.31555,0.42999,0.64597,0.69854
ah_f0_s0,ah,im0291,Q2,33,27.0,0.0303,0.45455,0.6875,0.19514,0.19784,0.90243,0.88796
ah_f0_s0,ah,im0291,Q3,19,15.0,0.0,0.36842,nan,nan,0.15764,nan,0.91542
ah_f0_s0,ah,im0291,Q4_clearest,15,19.0,0.0,0.86667,nan,nan,0.08324,nan,0.95838
ah_f0_s0,ah,im0319,Q1_dimmest,29,7.0,0.62069,0.0,0.4899,0.41504,0.42423,0.69519,0.65984
ah_f0_s0,ah,im0319,Q2,50,20.5,0.16,0.32,0.65476,0.3409,0.20324,0.65595,0.86224
ah_f0_s0,ah,im0319,Q3,26,26.0,0.11538,0.34615,0.97101,0.70787,0.17182,0.35393,0.85815
ah_f0_s0,ah,im0324,Q1_dimmest,23,5.0,0.47826,0.0,0.5303,0.35471,0.31995,0.76824,0.80288
ah_f0_s0,ah,im0324,Q2,53,6.0,0.30189,0.09434,0.7027,0.54459,0.33765,0.6013,0.75547
ah_f0_s0,ah,im0324,Q3,49,19.0,0.12245,0.40816,0.75581,0.38544,0.17571,0.80728,0.88521
ah_f0_s0,ah,im0324,Q4_clearest,11,66.0,0.0,0.54545,nan,nan,0.12536,nan,0.93732
vk_f0_s0,vk,im0162,Q1_dimmest,49,9.0,0.89796,0.16327,0.87727,0.50921,0.17406,0.66556,0.91297
vk_f0_s0,vk,im0162,Q2,130,19.0,0.61538,0.37692,0.8745,0.39839,0.12664,0.74859,0.93668
vk_f0_s0,vk,im0162,Q3,130,24.0,0.18462,0.5,0.82469,0.28523,0.07742,0.80582,0.95757
vk_f0_s0,vk,im0162,Q4_clearest,204,15.0,0.01471,0.35784,0.75954,0.10797,0.03484,0.94601,0.98258
vk_f0_s0,vk,im0163,Q1_dimmest,29,7.0,0.7931,0.2069,0.82609,0.44015,0.11711,0.7014,0.85114
vk_f0_s0,vk,im0163,Q2,67,22.0,0.71642,0.41791,0.79605,0.27169,0.09485,0.82078,0.95258
