run,config,image,min_size,band,breaks,gt_px,skel_px,dice,cldice,tprec,tsens
A_dice_s0,A_dice,01,0,Q1_dimmest,237,4597,1791,0.52567,0.53928,0.55391,0.5254
A_dice_s0,A_dice,01,0,Q2,58,6946,2500,0.778,0.83025,0.78017,0.8872
A_dice_s0,A_dice,01,0,Q3,16,8473,2538,0.87449,0.95238,0.93388,0.97163
A_dice_s0,A_dice,01,0,Q4_clearest,0,9424,2483,0.93283,0.99119,0.98449,0.99799
A_dice_s0,A_dice,01,20,Q1_dimmest,216,4597,1791,0.52276,0.53509,0.57364,0.5014
A_dice_s0,A_dice,01,20,Q2,57,6946,2500,0.77801,0.83054,0.79585,0.8684
A_dice_s0,A_dice,01,20,Q3,14,8473,2538,0.87516,0.95474,0.94213,0.96769
A_dice_s0,A_dice,01,20,Q4_clearest,0,9424,2483,0.93297,0.99179,0.98566,0.99799
A_dice_s0,A_dice,02,0,Q1_dimmest,239,5691,1790,0.4794,0.44303,0.46517,0.42291
A_dice_s0,A_dice,02,0,Q2,67,6606,1861,0.78117,0.76739,0.72238,0.81838
A_dice_s0,A_dice,02,0,Q3,2,8662,2260,0.90464,0.94885,0.91453,0.98584
A_dice_s0,A_dice,02,0,Q4_clearest,0,12831,3378,0.96753,0.99357,0.98722,1.0
A_dice_s0,A_dice,02,20,Q1_dimmest,209,5691,1790,0.47717,0.43491,0.49519,0.38771
A_dice_s0,A_dice,02,20,Q2,57,6606,1861,0.77979,0.76305,0.73333,0.79527
A_dice_s0,A_dice,02,20,Q3,2,8662,2260,0.90729,0.95702,0.93142,0.98407
A_dice_s0,A_dice,02,20,Q4_clearest,0,12831,3378,0.9676,0.99385,0.98778,1.0
A_dice_s0,A_dice,03,0,Q1_dimmest,306,10358,3377,0.46066,0.45541,0.52495,0.40213
A_dice_s0,A_dice,03,0,Q2,56,9353,2708,0.80413,0.83154,0.81963,0.8438
A_dice_s0,A_dice,03,0,Q3,12,8095,2089,0.93056,0.96132,0.9595,0.96314
A_dice_s0,A_dice,03,0,Q4_clearest,0,5087,1047,0.98926,0.99952,1.0,0.99904
A_dice_s0,A_dice,03,20,Q1_dimmest,278,10358,3377,0.46287,0.46136,0.57104,0.38703
A_dice_s0,A_dice,03,20,Q2,51,9353,2708,0.80461,0.83416,0.8345,0.83383
A_dice_s0,A_dice,03,20,Q3,12,8095,2089,0.93112,0.96375,0.96437,0.96314
A_dice_s0,A_dice,03,20,Q4_clearest,0,5087,1047,0.98926,0.99952,1.0,0.99904
A_dice_s0,A_dice,04,0,Q1_dimmest,236,7750,3035,0.48401,0.43878,0.54828,0.36573
A_dice_s0,A_dice,04,0,Q2,37,6017,1865,0.80029,0.82196,0.78091,0.86756
A_dice_s0,A_dice,04,0,Q3,5,6293,1680,0.91142,0.95536,0.93161,0.98036
A_dice_s0,A_dice,04,0,Q4_clearest,4,10294,2346,0.97141,0.98961,0.98775,0.99147
A_dice_s0,A_dice,04,20,Q1_dimmest,214,7750,3035,0.48739,0.44683,0.60031,0.35585
A_dice_s0,A_dice,04,20,Q2,34,6017,1865,0.8001,0.82307,0.79278,0.85576
A_dice_s0,A_dice,04,20,Q3,4,6293,1680,0.91228,0.95799,0.93936,0.97738
A_dice_s0,A_dice,04,20,Q4_clearest,4,10294,2346,0.97174,0.99087,0.99026,0.99147
A_dice_s0,A_dice,05,0,Q1_dimmest,315,9685,3539,0.45728,0.42119,0.58998,0.32749
A_dice_s0,A_dice,05,0,Q2,44,7440,2198,0.83001,0.84322,0.83145,0.85532
A_dice_s0,A_dice,05,0,Q3,0,7606,2186,0.93589,0.98072,0.97124,0.99039
A_dice_s0,A_dice,05,0,Q4_clearest,0,6179,1663,0.97639,0.99715,0.9949,0.9994
A_dice_s0,A_dice,05,20,Q1_dimmest,274,9685,3539,0.44813,0.39941,0.61454,0.29585
A_dice_s0,A_dice,05,20,Q2,40,7440,2198,0.82881,0.84011,0.83992,0.84031
A_dice_s0,A_dice,05,20,Q3,0,7606,2186,0.93648,0.9825,0.97474,0.99039
A_dice_s0,A_dice,05,20,Q4_clearest,0,6179,1663,0.97639,0.99715,0.9949,0.9994
A_dice_s0,A_dice,06,0,Q1_dimmest,402,10790,3981,0.47007,0.4634,0.63297,0.36549
A_dice_s0,A_dice,06,0,Q2,50,7933,2378,0.82794,0.82405,0.83245,0.81581
A_dice_s0,A_dice,06,0,Q3,3,7891,2229,0.95052,0.98112,0.97055,0.99192
A_dice_s0,A_dice,06,0,Q4_clearest,0,5502,1401,0.98193,0.99965,0.99929,1.0
A_dice_s0,A_dice,06,20,Q1_dimmest,346,10790,3981,0.46205,0.44741,0.65546,0.33961
A_dice_s0,A_dice,06,20,Q2,44,7933,2378,0.82747,0.82302,0.84997,0.79773
A_dice_s0,A_dice,06,20,Q3,3,7891,2229,0.95096,0.98213,0.97426,0.99013
A_dice_s0,A_dice,06,20,Q4_clearest,0,5502,1401,0.98193,0.99965,0.99929,1.0
A_dice_s0,A_dice,07,0,Q1_dimmest,259,8316,2808,0.44862,0.43365,0.58853,0.3433
A_dice_s0,A_dice,07,0,Q2,63,7149,2172,0.80014,0.78851,0.79253,0.78453
A_dice_s0,A_dice,07,0,Q3,5,7254,1955,0.92305,0.96119,0.94352,0.97954
A_dice_s0,A_dice,07,0,Q4_clearest,1,7433,2033,0.97526,0.99656,0.99411,0.99902
A_dice_s0,A_dice,07,20,Q1_dimmest,221,8316,2808,0.44054,0.41764,0.64053,0.30983
A_dice_s0,A_dice,07,20,Q2,54,7149,2172,0.80579,0.80576,0.84305,0.77164
A_dice_s0,A_dice,07,20,Q3,5,7254,1955,0.92493,0.96737,0.95697,0.97801
A_dice_s0,A_dice,07,20,Q4_clearest,1,7433,2033,0.97551,0.9968,0.9946,0.99902
A_dice_s0,A_dice,08,0,Q1_dimmest,304,9976,3245,0.50861,0.47022,0.57096,0.39969
A_dice_s0,A_dice,08,0,Q2,27,8461,2479,0.83805,0.84822,0.82814,0.8693
A_dice_s0,A_dice,08,0,Q3,4,6640,1970,0.93309,0.97178,0.96252,0.98122
A_dice_s0,A_dice,08,0,Q4_clearest,0,3312,891,0.97848,0.99437,0.99549,0.99327
A_dice_s0,A_dice,08,20,Q1_dimmest,272,9976,3245,0.51041,0.47368,0.63045,0.37935
A_dice_s0,A_dice,08,20,Q2,26,8461,2479,0.84063,0.85624,0.85051,0.86204
A_dice_s0,A_dice,08,20,Q3,4,6640,1970,0.93449,0.9759,0.97065,0.98122
A_dice_s0,A_dice,08,20,Q4_clearest,0,3312,891,0.97848,0.99437,0.99549,0.99327
A_dice_s0,A_dice,09,0,Q1_dimmest,312,9368,3406,0.51562,0.51592,0.66097,0.42308
A_dice_s0,A_dice,09,0,Q2,40,7639,2383,0.84223,0.86981,0.83963,0.90222
A_dice_s0,A_dice,09,0,Q3,5,6249,1936,0.93929,0.97652,0.96469,0.98864
A_dice_s0,A_dice,09,0,Q4_clearest,2,3485,1001,0.97788,0.99399,0.99902,0.98901
A_dice_s0,A_dice,09,20,Q1_dimmest,269,9368,3406,0.51231,0.51072,0.69845,0.40252
A_dice_s0,A_dice,09,20,Q2,38,7639,2383,0.84191,0.86837,0.84848,0.88922
A_dice_s0,A_dice,09,20,Q3,5,6249,1936,0.93913,0.97651,0.96468,0.98864
A_dice_s0,A_dice,09,20,Q4_clearest,2,3485,1001,0.97788,0.99399,0.99902,0.98901
