run,trained_on,image,band,n_px,contested_frac,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed,auroc
ah_f0_s0,ah,im0162,Q1_dimmest,8081,0.89147,0.02742,0.14117,0.02986,0.3008,0.18698
ah_f0_s0,ah,im0162,Q2,11449,0.68836,0.07502,0.16934,0.09632,0.47576,0.27752
ah_f0_s0,ah,im0162,Q3,12944,0.33915,0.16875,0.15845,0.24617,0.73726,0.49631
ah_f0_s0,ah,im0162,Q4_clearest,17112,0.05932,0.24787,0.04977,0.53646,0.95439,0.84158
ah_f0_s0,ah,im0163,Q1_dimmest,5186,0.85885,0.0585,0.20526,0.05806,0.53672,0.21942
ah_f0_s0,ah,im0163,Q2,9046,0.74652,0.12383,0.2015,0.16207,0.55881,0.3678
ah_f0_s0,ah,im0163,Q3,12344,0.42158,0.25233,0.15296,0.40569,0.82759,0.64215
ah_f0_s0,ah,im0163,Q4_clearest,23265,0.06082,0.2364,0.02829,0.73365,0.97984,0.90087
ah_f0_s0,ah,im0235,Q1_dimmest,13323,0.81506,0.04545,0.16008,0.0494,0.39383,0.21477
ah_f0_s0,ah,im0235,Q2,13930,0.58227,0.09347,0.16266,0.13514,0.6016,0.3405
ah_f0_s0,ah,im0235,Q3,14288,0.29171,0.17446,0.13105,0.24946,0.81074,0.58104
ah_f0_s0,ah,im0235,Q4_clearest,19285,0.05476,0.26549,0.03929,0.52657,0.96154,0.88685
ah_f0_s0,ah,im0236,Q1_dimmest,12278,0.78319,0.0555,0.16638,0.06764,0.34013,0.26064
ah_f0_s0,ah,im0236,Q2,12694,0.53387,0.11667,0.1735,0.16102,0.63947,0.37791
ah_f0_s0,ah,im0236,Q3,15124,0.23969,0.18675,0.1151,0.26697,0.83117,0.61907
ah_f0_s0,ah,im0236,Q4_clearest,17583,0.04311,0.22948,0.04494,0.49748,0.95066,0.84984
ah_f0_s0,ah,im0239,Q1_dimmest,10232,0.75352,0.03659,0.09438,0.03343,0.20462,0.38795
ah_f0_s0,ah,im0239,Q2,13453,0.5482,0.06271,0.1421,0.07729,0.39467,0.32491
ah_f0_s0,ah,im0239,Q3,17219,0.24299,0.1428,0.12811,0.21133,0.71363,0.48144
ah_f0_s0,ah,im0239,Q4_clearest,13841,0.04183,0.21817,0.05523,0.56669,0.91334,0.79515
ah_f0_s0,ah,im0240,Q1_dimmest,25455,0.65842,0.03253,0.09535,0.04153,0.26036,0.32292
ah_f0_s0,ah,im0240,Q2,20238,0.37084,0.07683,0.14256,0.11258,0.57497,0.32181
ah_f0_s0,ah,im0240,Q3,13823,0.11777,0.20104,0.10291,0.31989,0.84304,0.65011
ah_f0_s0,ah,im0240,Q4_clearest,7375,0.00841,0.19566,0.02476,0.78279,0.98083,0.86958
ah_f0_s0,ah,im0255,Q1_dimmest,12113,0.83035,0.03412,0.11994,0.03272,0.21744,0.24857
ah_f0_s0,ah,im0255,Q2,14210,0.55876,0.08148,0.1713,0.09664,0.43278,0.29698
ah_f0_s0,ah,im0255,Q3,14708,0.20118,0.18549,0.14355,0.25167,0.73299,0.5416
ah_f0_s0,ah,im0255,Q4_clearest,16385,0.02673,0.27115,0.04556,0.56862,0.95733,0.8935
ah_f0_s0,ah,im0291,Q1_dimmest,10378,0.64733,0.05302,0.11508,0.08702,0.34127,0.30575
ah_f0_s0,ah,im0291,Q2,8228,0.29375,0.12592,0.1349,0.20218,0.67496,0.42482
ah_f0_s0,ah,im0291,Q3,6036,0.08764,0.2225,0.10055,0.31312,0.87375,0.68697
ah_f0_s0,ah,im0291,Q4_clearest,3979,0.00251,0.31841,0.02494,0.62104,0.97479,0.93747
ah_f0_s0,ah,im0319,Q1_dimmest,10024,0.72676,0.07296,0.13025,0.11836,0.32282,0.33539
ah_f0_s0,ah,im0319,Q2,9867,0.40022,0.15296,0.13911,0.27563,0.68435,0.48439
ah_f0_s0,ah,im0319,Q3,6553,0.14894,0.23646,0.07357,0.55894,0.90622,0.76629
ah_f0_s0,ah,im0319,Q4_clearest,2090,0.01531,0.09493,0.01334,0.92783,0.98963,0.89012
ah_f0_s0,ah,im0324,Q1_dimmest,16445,0.70721,0.04639,0.08933,0.08667,0.23758,0.36372
ah_f0_s0,ah,im0324,Q2,14329,0.46563,0.09342,0.10995,0.18895,0.47909,0.40632
ah_f0_s0,ah,im0324,Q3,10272,0.21739,0.15991,0.094,0.40377,0.75857,0.59054
ah_f0_s0,ah,im0324,Q4_clearest,4535,0.03462,0.17001,0.03544,0.65551,0.95794,0.78951
vk_f0_s0,vk,im0162,Q1_dimmest,8081,0.89147,0.21057,0.1923,0.31226,0.80307,0.47107
vk_f0_s0,vk,im0162,Q2,11449,0.68836,0.23073,0.10452,0.64626,0.92218,0.69885
vk_f0_s0,vk,im0162,Q3,12944,0.33915,0.13591,0.03384,0.86382,0.97732,0.7729
vk_f0_s0,vk,im0162,Q4_clearest,17112,0.05932,0.06395,0.00878,0.96341,0.9926,0.83643
vk_f0_s0,vk,im0163,Q1_dimmest,5186,0.85885,0.26467,0.15554,0.40677,0.8179,0.66596
vk_f0_s0,vk,im0163,Q2,9046,0.74652,0.23728,0.09297,0.71163,0.93039,0.73466
vk_f0_s0,vk,im0163,Q3,12344,0.42158,0.13187,0.02789,0.89327,0.98167,0.77779
vk_f0_s0,vk,im0163,Q4_clearest,23265,0.06082,0.07983,0.00871,0.94331,0.99339,0.87186
vk_f0_s0,vk,im0235,Q1_dimmest,13323,0.81506,0.21454,0.20428,0.28947,0.68993,0.49645
vk_f0_s0,vk,im0235,Q2,13930,0.58227,0.25097,0.11506,0.59302,0.89143,0.71443
vk_f0_s0,vk,im0235,Q3,14288,0.29171,0.19959,0.04661,0.78309,0.96445,0.80909
vk_f0_s0,vk,im0235,Q4_clearest,19285,0.05476,0.0763,0.01131,0.93988,0.99022,0.86541
vk_f0_s0,vk,im0236,Q1_dimmest,12278,0.78319,0.22303,0.21486,0.30048,0.70703,0.47935
vk_f0_s0,vk,im0236,Q2,12694,0.53387,0.27306,0.11082,0.61046,0.90286,0.74308
vk_f0_s0,vk,im0236,Q3,15124,0.23969,0.19415,0.04163,0.80848,0.96597,0.82014
vk_f0_s0,vk,im0236,Q4_clearest,17583,0.04311,0.09038,0.01079,0.90742,0.9912,0.86031
vk_f0_s0,vk,im0239,Q1_dimmest,10232,0.75352,0.20344,0.23095,0.23902,0.55691,0.46421
vk_f0_s0,vk,im0239,Q2,13453,0.5482,0.27107,0.15867,0.48825,0.82327,0.65829
vk_f0_s0,vk,im0239,Q3,17219,0.24299,0.22089,0.05807,0.77231,0.95128,0.81105
vk_f0_s0,vk,im0239,Q4_clearest,13841,0.04183,0.05038,0.01299,0.96986,0.98904,0.82976
vk_f0_s0,vk,im0240,Q1_dimmest,25455,0.65842,0.17069,0.18202,0.23063,0.53213,0.45989
vk_f0_s0,vk,im0240,Q2,20238,0.37084,0.25773,0.11166,0.57836,0.88231,0.73342
vk_f0_s0,vk,im0240,Q3,13823,0.11777,0.13424,0.02397,0.87278,0.98509,0.85083
vk_f0_s0,vk,im0240,Q4_clearest,7375,0.00841,0.03762,0.0025,0.96204,0.99875,0.87854
